time [s],uuid, clocks_event_reasons.hw_slowdown, clocks_event_reasons.sw_thermal_slowdown, memory.total [MiB], memory.reserved [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%]
0.14015539269894361,GPU-0958bdde-cc48-90e2-db90-520614a5e7bd, Not Active, Not Active, 65247 MiB, 294 MiB, 59008 MiB, 5943 MiB, 0 %, 0 %
1.218906250782311,GPU-0958bdde-cc48-90e2-db90-520614a5e7bd, Not Active, Not Active, 65247 MiB, 294 MiB, 59008 MiB, 5943 MiB, 57 %, 58 %
2.218987033702433,GPU-0958bdde-cc48-90e2-db90-520614a5e7bd, Not Active, Not Active, 65247 MiB, 294 MiB, 59008 MiB, 5943 MiB, 98 %, 100 %
3.219051609747112,GPU-0958bdde-cc48-90e2-db90-520614a5e7bd, Not Active, Not Active, 65247 MiB, 294 MiB, 59008 MiB, 5943 MiB, 98 %, 100 %
4.219121735543013,GPU-0958bdde-cc48-90e2-db90-520614a5e7bd, Not Active, Not Active, 65247 MiB, 294 MiB, 59008 MiB, 5943 MiB, 98 %, 100 %
5.219187835231423,GPU-0958bdde-cc48-90e2-db90-520614a5e7bd, Not Active, Not Active, 65247 MiB, 294 MiB, 59008 MiB, 5943 MiB, 98 %, 100 %
6.219257052987814,GPU-0958bdde-cc48-90e2-db90-520614a5e7bd, Not Active, Not Active, 65247 MiB, 294 MiB, 59498 MiB, 5453 MiB, 84 %, 84 %
7.219323696568608,GPU-0958bdde-cc48-90e2-db90-520614a5e7bd, Not Active, Not Active, 65247 MiB, 294 MiB, 59498 MiB, 5453 MiB, 96 %, 100 %
8.219391860999167,GPU-0958bdde-cc48-90e2-db90-520614a5e7bd, Not Active, Not Active, 65247 MiB, 294 MiB, 59498 MiB, 5453 MiB, 95 %, 100 %
9.219456716440618,GPU-0958bdde-cc48-90e2-db90-520614a5e7bd, Not Active, Not Active, 65247 MiB, 294 MiB, 59498 MiB, 5453 MiB, 96 %, 100 %
10.219520659185946,GPU-0958bdde-cc48-90e2-db90-520614a5e7bd, Not Active, Not Active, 65247 MiB, 294 MiB, 59498 MiB, 5453 MiB, 96 %, 100 %
11.219587489031255,GPU-0958bdde-cc48-90e2-db90-520614a5e7bd, Not Active, Not Active, 65247 MiB, 294 MiB, 59498 MiB, 5453 MiB, 96 %, 100 %
12.219640460796654,GPU-0958bdde-cc48-90e2-db90-520614a5e7bd, Not Active, Not Active, 65247 MiB, 294 MiB, 59498 MiB, 5453 MiB, 96 %, 100 %
13.219706350006163,GPU-0958bdde-cc48-90e2-db90-520614a5e7bd, Not Active, Not Active, 65247 MiB, 294 MiB, 59498 MiB, 5453 MiB, 96 %, 100 %
14.219753896817565,GPU-0958bdde-cc48-90e2-db90-520614a5e7bd, Not Active, Not Active, 65247 MiB, 294 MiB, 59498 MiB, 5453 MiB, 96 %, 100 %
15.219822758808732,GPU-0958bdde-cc48-90e2-db90-520614a5e7bd, Not Active, Not Active, 65247 MiB, 294 MiB, 59498 MiB, 5453 MiB, 96 %, 100 %
16.219869673252106,GPU-0958bdde-cc48-90e2-db90-520614a5e7bd, Not Active, Not Active, 65247 MiB, 294 MiB, 59498 MiB, 5453 MiB, 96 %, 100 %
17.219934730790555,GPU-0958bdde-cc48-90e2-db90-520614a5e7bd, Not Active, Not Active, 65247 MiB, 294 MiB, 59498 MiB, 5453 MiB, 96 %, 100 %
18.21998236514628,GPU-0958bdde-cc48-90e2-db90-520614a5e7bd, Not Active, Not Active, 65247 MiB, 294 MiB, 59498 MiB, 5453 MiB, 96 %, 100 %
19.220048832707107,GPU-0958bdde-cc48-90e2-db90-520614a5e7bd, Not Active, Not Active, 65247 MiB, 294 MiB, 59498 MiB, 5453 MiB, 98 %, 100 %
20.22011513262987,GPU-0958bdde-cc48-90e2-db90-520614a5e7bd, Not Active, Not Active, 65247 MiB, 294 MiB, 59498 MiB, 5453 MiB, 95 %, 100 %
21.220179107040167,GPU-0958bdde-cc48-90e2-db90-520614a5e7bd, Not Active, Not Active, 65247 MiB, 294 MiB, 59498 MiB, 5453 MiB, 96 %, 100 %
22.220226692967117,GPU-0958bdde-cc48-90e2-db90-520614a5e7bd, Not Active, Not Active, 65247 MiB, 294 MiB, 59498 MiB, 5453 MiB, 96 %, 100 %
23.2202923707664,GPU-0958bdde-cc48-90e2-db90-520614a5e7bd, Not Active, Not Active, 65247 MiB, 294 MiB, 59498 MiB, 5453 MiB, 96 %, 100 %
24.220339219085872,GPU-0958bdde-cc48-90e2-db90-520614a5e7bd, Not Active, Not Active, 65247 MiB, 294 MiB, 59498 MiB, 5453 MiB, 96 %, 100 %
25.220404736697674,GPU-0958bdde-cc48-90e2-db90-520614a5e7bd, Not Active, Not Active, 65247 MiB, 294 MiB, 59498 MiB, 5453 MiB, 96 %, 100 %
26.22046172618866,GPU-0958bdde-cc48-90e2-db90-520614a5e7bd, Not Active, Not Active, 65247 MiB, 294 MiB, 59498 MiB, 5453 MiB, 96 %, 100 %
