time [s],uuid, clocks_event_reasons.hw_slowdown, clocks_event_reasons.sw_thermal_slowdown, memory.total [MiB], memory.reserved [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%]
0.14553648978471756,GPU-03246fa6-0a14-5651-9dd0-3bfb947ea451, Not Active, Not Active, 65247 MiB, 294 MiB, 59302 MiB, 5649 MiB, 0 %, 0 %
1.2750549498014152,GPU-03246fa6-0a14-5651-9dd0-3bfb947ea451, Not Active, Not Active, 65247 MiB, 294 MiB, 59302 MiB, 5649 MiB, 39 %, 25 %
2.2751331198960543,GPU-03246fa6-0a14-5651-9dd0-3bfb947ea451, Not Active, Not Active, 65247 MiB, 294 MiB, 59450 MiB, 5501 MiB, 75 %, 65 %
3.275196127127856,GPU-03246fa6-0a14-5651-9dd0-3bfb947ea451, Not Active, Not Active, 65247 MiB, 294 MiB, 59450 MiB, 5501 MiB, 77 %, 70 %
4.2752559329383075,GPU-03246fa6-0a14-5651-9dd0-3bfb947ea451, Not Active, Not Active, 65247 MiB, 294 MiB, 59450 MiB, 5501 MiB, 85 %, 72 %
5.275317787192762,GPU-03246fa6-0a14-5651-9dd0-3bfb947ea451, Not Active, Not Active, 65247 MiB, 294 MiB, 59450 MiB, 5501 MiB, 78 %, 70 %
6.27536920690909,GPU-03246fa6-0a14-5651-9dd0-3bfb947ea451, Not Active, Not Active, 65247 MiB, 294 MiB, 59450 MiB, 5501 MiB, 80 %, 73 %
7.275436062831432,GPU-03246fa6-0a14-5651-9dd0-3bfb947ea451, Not Active, Not Active, 65247 MiB, 294 MiB, 59450 MiB, 5501 MiB, 77 %, 70 %
8.275492336135358,GPU-03246fa6-0a14-5651-9dd0-3bfb947ea451, Not Active, Not Active, 65247 MiB, 294 MiB, 59450 MiB, 5501 MiB, 85 %, 73 %
9.275561456102878,GPU-03246fa6-0a14-5651-9dd0-3bfb947ea451, Not Active, Not Active, 65247 MiB, 294 MiB, 59450 MiB, 5501 MiB, 77 %, 69 %
10.275622271001339,GPU-03246fa6-0a14-5651-9dd0-3bfb947ea451, Not Active, Not Active, 65247 MiB, 294 MiB, 59450 MiB, 5501 MiB, 83 %, 69 %
11.275670523755252,GPU-03246fa6-0a14-5651-9dd0-3bfb947ea451, Not Active, Not Active, 65247 MiB, 294 MiB, 59450 MiB, 5501 MiB, 78 %, 70 %
12.275739133823663,GPU-03246fa6-0a14-5651-9dd0-3bfb947ea451, Not Active, Not Active, 65247 MiB, 294 MiB, 59450 MiB, 5501 MiB, 83 %, 67 %
13.275809451937675,GPU-03246fa6-0a14-5651-9dd0-3bfb947ea451, Not Active, Not Active, 65247 MiB, 294 MiB, 59450 MiB, 5501 MiB, 78 %, 70 %
14.275862989015877,GPU-03246fa6-0a14-5651-9dd0-3bfb947ea451, Not Active, Not Active, 65247 MiB, 294 MiB, 59450 MiB, 5501 MiB, 80 %, 65 %
