time [s],uuid, clocks_event_reasons.hw_slowdown, clocks_event_reasons.sw_thermal_slowdown, memory.total [MiB], memory.reserved [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%]
0.1401684139855206,GPU-a1a79173-42ef-6d71-809a-f1e71777ba71, Not Active, Not Active, 65247 MiB, 294 MiB, 60158 MiB, 4793 MiB, 0 %, 0 %
1.2242968189530075,GPU-a1a79173-42ef-6d71-809a-f1e71777ba71, Not Active, Not Active, 65247 MiB, 294 MiB, 60158 MiB, 4793 MiB, 79 %, 78 %
2.2243808179628104,GPU-a1a79173-42ef-6d71-809a-f1e71777ba71, Not Active, Not Active, 65247 MiB, 294 MiB, 60158 MiB, 4793 MiB, 96 %, 95 %
3.224449530011043,GPU-a1a79173-42ef-6d71-809a-f1e71777ba71, Not Active, Not Active, 65247 MiB, 294 MiB, 60158 MiB, 4793 MiB, 96 %, 95 %
4.22451953496784,GPU-a1a79173-42ef-6d71-809a-f1e71777ba71, Not Active, Not Active, 65247 MiB, 294 MiB, 60158 MiB, 4793 MiB, 0 %, 0 %
5.224588908953592,GPU-a1a79173-42ef-6d71-809a-f1e71777ba71, Not Active, Not Active, 65247 MiB, 294 MiB, 60278 MiB, 4673 MiB, 55 %, 54 %
6.803754928056151,GPU-a1a79173-42ef-6d71-809a-f1e71777ba71, Not Active, Not Active, 65247 MiB, 294 MiB, 60278 MiB, 4673 MiB, 55 %, 54 %
7.803823590977117,GPU-a1a79173-42ef-6d71-809a-f1e71777ba71, Not Active, Not Active, 65247 MiB, 294 MiB, 60364 MiB, 4587 MiB, 89 %, 91 %
8.803892924916,GPU-a1a79173-42ef-6d71-809a-f1e71777ba71, Not Active, Not Active, 65247 MiB, 294 MiB, 60564 MiB, 4387 MiB, 90 %, 93 %
9.803967545973137,GPU-a1a79173-42ef-6d71-809a-f1e71777ba71, Not Active, Not Active, 65247 MiB, 294 MiB, 60796 MiB, 4155 MiB, 89 %, 94 %
10.804036105051637,GPU-a1a79173-42ef-6d71-809a-f1e71777ba71, Not Active, Not Active, 65247 MiB, 294 MiB, 60924 MiB, 4027 MiB, 88 %, 95 %
11.804109762888402,GPU-a1a79173-42ef-6d71-809a-f1e71777ba71, Not Active, Not Active, 65247 MiB, 294 MiB, 60924 MiB, 4027 MiB, 89 %, 100 %
12.804170865099877,GPU-a1a79173-42ef-6d71-809a-f1e71777ba71, Not Active, Not Active, 65247 MiB, 294 MiB, 60924 MiB, 4027 MiB, 89 %, 99 %
13.80423846305348,GPU-a1a79173-42ef-6d71-809a-f1e71777ba71, Not Active, Not Active, 65247 MiB, 294 MiB, 60924 MiB, 4027 MiB, 90 %, 100 %
14.804296971065924,GPU-a1a79173-42ef-6d71-809a-f1e71777ba71, Not Active, Not Active, 65247 MiB, 294 MiB, 60924 MiB, 4027 MiB, 91 %, 100 %
15.804371556965634,GPU-a1a79173-42ef-6d71-809a-f1e71777ba71, Not Active, Not Active, 65247 MiB, 294 MiB, 60924 MiB, 4027 MiB, 91 %, 96 %
16.804439794970676,GPU-a1a79173-42ef-6d71-809a-f1e71777ba71, Not Active, Not Active, 65247 MiB, 294 MiB, 60924 MiB, 4027 MiB, 89 %, 94 %
17.804501787992194,GPU-a1a79173-42ef-6d71-809a-f1e71777ba71, Not Active, Not Active, 65247 MiB, 294 MiB, 60924 MiB, 4027 MiB, 89 %, 93 %
18.80457436107099,GPU-a1a79173-42ef-6d71-809a-f1e71777ba71, Not Active, Not Active, 65247 MiB, 294 MiB, 60924 MiB, 4027 MiB, 91 %, 94 %
