time [s],uuid, clocks_event_reasons.hw_slowdown, clocks_event_reasons.sw_thermal_slowdown, memory.total [MiB], memory.reserved [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%]
0.14337432384490967,GPU-31785635-835f-8ea5-0dc3-adb14fd7195f, Not Active, Not Active, 65247 MiB, 294 MiB, 59370 MiB, 5581 MiB, 0 %, 0 %
1.4404888805001974,GPU-31785635-835f-8ea5-0dc3-adb14fd7195f, Not Active, Not Active, 65247 MiB, 294 MiB, 59370 MiB, 5581 MiB, 0 %, 0 %
2.4405708722770214,GPU-31785635-835f-8ea5-0dc3-adb14fd7195f, Not Active, Not Active, 65247 MiB, 294 MiB, 59370 MiB, 5581 MiB, 0 %, 0 %
3.4406471997499466,GPU-31785635-835f-8ea5-0dc3-adb14fd7195f, Not Active, Not Active, 65247 MiB, 294 MiB, 59370 MiB, 5581 MiB, 0 %, 0 %
4.440720908343792,GPU-31785635-835f-8ea5-0dc3-adb14fd7195f, Not Active, Not Active, 65247 MiB, 294 MiB, 59370 MiB, 5581 MiB, 92 %, 68 %
5.440783336758614,GPU-31785635-835f-8ea5-0dc3-adb14fd7195f, Not Active, Not Active, 65247 MiB, 294 MiB, 59370 MiB, 5581 MiB, 92 %, 66 %
6.440839093178511,GPU-31785635-835f-8ea5-0dc3-adb14fd7195f, Not Active, Not Active, 65247 MiB, 294 MiB, 59370 MiB, 5581 MiB, 92 %, 66 %
7.44090667180717,GPU-31785635-835f-8ea5-0dc3-adb14fd7195f, Not Active, Not Active, 65247 MiB, 294 MiB, 59394 MiB, 5557 MiB, 81 %, 69 %
9.416937245056033,GPU-31785635-835f-8ea5-0dc3-adb14fd7195f, Not Active, Not Active, 65247 MiB, 294 MiB, 59394 MiB, 5557 MiB, 88 %, 76 %
10.417010016739368,GPU-31785635-835f-8ea5-0dc3-adb14fd7195f, Not Active, Not Active, 65247 MiB, 294 MiB, 59394 MiB, 5557 MiB, 88 %, 75 %
11.417068583890796,GPU-31785635-835f-8ea5-0dc3-adb14fd7195f, Not Active, Not Active, 65247 MiB, 294 MiB, 59394 MiB, 5557 MiB, 87 %, 71 %
12.417141489684582,GPU-31785635-835f-8ea5-0dc3-adb14fd7195f, Not Active, Not Active, 65247 MiB, 294 MiB, 59394 MiB, 5557 MiB, 88 %, 74 %
13.417215842753649,GPU-31785635-835f-8ea5-0dc3-adb14fd7195f, Not Active, Not Active, 65247 MiB, 294 MiB, 59394 MiB, 5557 MiB, 88 %, 76 %
14.417270077392459,GPU-31785635-835f-8ea5-0dc3-adb14fd7195f, Not Active, Not Active, 65247 MiB, 294 MiB, 59394 MiB, 5557 MiB, 87 %, 70 %
15.41732656955719,GPU-31785635-835f-8ea5-0dc3-adb14fd7195f, Not Active, Not Active, 65247 MiB, 294 MiB, 59394 MiB, 5557 MiB, 88 %, 73 %
16.417380522936583,GPU-31785635-835f-8ea5-0dc3-adb14fd7195f, Not Active, Not Active, 65247 MiB, 294 MiB, 59394 MiB, 5557 MiB, 89 %, 75 %
17.417433716356754,GPU-31785635-835f-8ea5-0dc3-adb14fd7195f, Not Active, Not Active, 65247 MiB, 294 MiB, 59394 MiB, 5557 MiB, 88 %, 68 %
18.417508106678724,GPU-31785635-835f-8ea5-0dc3-adb14fd7195f, Not Active, Not Active, 65247 MiB, 294 MiB, 59394 MiB, 5557 MiB, 87 %, 72 %
19.417566247284412,GPU-31785635-835f-8ea5-0dc3-adb14fd7195f, Not Active, Not Active, 65247 MiB, 294 MiB, 59394 MiB, 5557 MiB, 88 %, 75 %
20.417619958519936,GPU-31785635-835f-8ea5-0dc3-adb14fd7195f, Not Active, Not Active, 65247 MiB, 294 MiB, 59394 MiB, 5557 MiB, 88 %, 75 %
21.417672093957663,GPU-31785635-835f-8ea5-0dc3-adb14fd7195f, Not Active, Not Active, 65247 MiB, 294 MiB, 59394 MiB, 5557 MiB, 88 %, 72 %
